M_Link_ID,Volumes
412,41282820.0
413,46262621.0
414,46833943.0
415,69881672.0
416,79018622.0
417,78053767.0
418,82876182.0
419,66312684.0
420,86631797.0
421,56957813.0
422,46641282.0
423,37592455.0
424,43455050.0
425,46830760.0
426,44000669.0
427,60941761.0
428,69670205.0
429,70778427.0
430,54014674.0
431,48327686.0
432,46436006.0
433,39839981.0
434,37381699.0
435,30132176.0
436,35150948.0
437,36584445.0
438,28391608.0
439,26752954.0
440,27910605.0
441,30251749.0
442,34599089.0
443,41090456.0
444,36658579.0
445,38259184.0
446,36698512.0
447,39715559.0
448,30453553.0
449,32209136.0
450,27141739.0
451,18001135.0
452,17253660.0
453,17318950.0
454,19960189.0
455,13884073.0
456,18637828.0
457,21674532.0
458,13263259.0
459,10118651.0
460,22057090.0
461,16216813.0
462,17548460.0
463,25808833.0
464,32560213.0
465,29613919.0
466,36843361.0
467,42746300.0
468,39958938.0
469,47349663.0
470,54322196.0
471,31445800.0
472,51757645.0
473,37268071.0
474,31329796.0
475,26195904.0
476,24895803.0
477,28609622.0
478,37737831.0
479,36301064.0
480,25535439.0
481,16660933.0
482,16192667.0
483,13846902.0
484,25490295.0
485,28967878.0
486,39374280.0
487,50926623.0
488,50350751.0
489,53863651.0
490,52909582.0
491,55863181.0
492,44155458.0
493,41204298.0
494,41253342.0
495,52731583.0
496,45943980.0
497,45596518.0
498,43752666.0
499,35081343.0
500,39308459.0
501,34752053.0
502,33362315.0
503,33533240.0
504,33756658.0
505,34834019.0
506,37666111.0
507,37973989.0
508,42031750.0
511,31661329.0
512,19059793.0
513,18951960.0
514,6466041.0
515,11706491.0
516,11392651.0
517,17978143.0
518,15698956.0
521,38145189.0
522,37222720.0
523,36259161.0
524,32782345.0
525,33284642.0
526,33897607.0
527,32687239.0
528,32715921.0
529,41129713.0
530,33975360.0
531,43514511.0
532,47230011.0
533,47994112.0
534,46342168.0
535,43587728.0
536,54810550.0
537,54833591.0
538,54846685.0
539,54208973.0
540,56688669.0
541,55820795.0
542,48274730.0
543,37755047.0
544,30488249.0
545,27439266.0
546,27678195.0
547,20536511.0
548,23885508.0
549,31972644.0
550,13699830.0
551,9473085.0
552,19199234.0
553,18435941.0
554,14519822.0
555,16790661.0
556,19723771.0
557,26422051.0
558,27537379.0
559,32304491.0
560,32009143.0
561,41307773.0
562,35150090.0
563,32612860.0
564,32612841.0
565,39252363.0
566,34910057.0
567,34394948.0
568,39685595.0
569,45557969.0
570,45649376.0
571,46359899.0
572,42502765.0
573,31944004.0
574,36929258.0
575,33954008.0
576,32465337.0
577,32041406.0
578,44674361.0
579,41341591.0
580,29254448.0
581,30225361.0
582,25915758.0
583,23310431.0
584,20187969.0
585,18044096.0
586,22082195.0
587,19808975.0
588,20235577.0
589,20470037.0
590,20518247.0
591,18808537.0
592,17293269.0
593,14836769.0
594,18879319.0
595,15592779.0
596,16450147.0
597,24385811.0
598,21885558.0
599,20342540.0
600,32824882.0
601,52691511.0
602,37345740.0
603,20918917.0
604,16605517.0
605,28224505.0
606,31736689.0
607,33950290.0
608,6385312.0
609,20700123.0
610,22055721.0
611,24830685.0
614,17989033.0
615,23027761.0
616,24317192.0
619,20956741.0
620,19397106.0
621,24407382.0
622,24049782.0
623,24041966.0
624,25895786.0
625,23296661.0
626,25204936.0
627,20807774.0
628,23207672.0
629,25492983.0
630,25680662.0
631,23932777.0
632,32301731.0
633,24267267.0
634,26365411.0
635,14479677.0
636,23145142.0
637,23074057.0
638,24091547.0
639,28808687.0
640,25177475.0
641,23034258.0
642,19958893.0
643,18997417.0
644,24194465.0
645,19834854.0
646,17954048.0
647,19787693.0
648,21663655.0
649,25315799.0
650,22280780.0
651,21919040.0
652,24019894.0
653,24853480.0
654,13297361.0
655,16334296.0
656,8372042.0
657,8369187.0
658,11359501.0
659,11517168.0
660,7275722.0
661,14548218.0
662,15020664.0
663,3582413.0
664,151503903.0
665,136585430.0
666,134367228.0
667,138033868.0
668,130979943.0
669,108857781.0
670,97335269.0
671,115443535.0
672,78777966.0
673,93435559.0
674,105780780.0
675,116852039.0
676,91060437.0
677,101191705.0
678,85695175.0
679,67615160.0
680,100378365.0
681,91124919.0
682,95039857.0
683,72859519.0
684,82970913.0
685,70102617.0
686,76403697.0
687,70351268.0
688,72031978.0
689,66678902.0
690,69489152.0
691,57255463.0
692,61392001.0
693,56377158.0
694,58365943.0
695,51883164.0
696,38038349.0
697,37995456.0
698,36473341.0
699,36130839.0
700,37968551.0
701,32312853.0
702,37459430.0
703,41371020.0
704,32328706.0
705,39957603.0
706,36288751.0
707,39303491.0
708,38081278.0
709,57154925.0
710,54544999.0
711,58887482.0
712,58005864.0
713,62022905.0
714,55856247.0
715,64167242.0
716,64863062.0
717,70613575.0
718,66143521.0
719,72376550.0
720,60360048.0
721,66479000.0
722,61364168.0
723,78158191.0
724,74822370.0
725,93583439.0
726,63139040.0
727,78953455.0
728,94781517.0
729,84730072.0
730,108784295.0
731,88056133.0
732,97561747.0
733,103120564.0
734,112442705.0
735,89189138.0
736,97938675.0
737,133568453.0
738,118213343.0
739,145767004.0
740,144361060.0
741,14251078.0
742,13080755.0
743,18801833.0
744,12101178.0
745,13834412.0
746,21289954.0
787,37947041.0
788,36711310.0
789,35907717.0
790,37145834.0
791,44063788.0
792,40656475.0
793,40657177.0
794,57266768.0
795,52203742.0
796,55830245.0
797,44071009.0
798,46215406.0
799,48953688.0
800,39312785.0
801,39147440.0
802,36249525.0
803,32936737.0
804,18524504.0
805,14157117.0
806,22412263.0
807,29959718.0
808,21133913.0
809,22178519.0
810,17061949.0
811,21590610.0
812,20752008.0
813,20044044.0
814,23478437.0
815,23015393.0
816,23335651.0
817,35035481.0
818,32403861.0
819,20907954.0
821,15695966.0
822,14901695.0
823,19233332.0
824,18538941.0
825,20627273.0
826,12743582.0
827,10738805.0
828,11288975.0
829,28344310.0
830,32944555.0
831,32944679.0
832,34968246.0
833,24495093.0
834,19969134.0
835,17730956.0
836,15148539.0
837,21853947.0
838,5442460.0
839,21046528.0
840,32647200.0
841,16861917.0
842,13486393.0
843,31710446.0
844,32080520.0
845,34330498.0
846,34358942.0
847,49112460.0
848,49856384.0
849,47536930.0
850,45500843.0
851,52064775.0
852,54906089.0
853,60818063.0
854,44144235.0
855,44141343.0
856,37969519.0
857,33581796.0
858,33033863.0
859,35406213.0
860,36028746.0
861,18290192.0
862,18430701.0
863,13675431.0
864,18822120.0
865,12975584.0
866,14393511.0
867,51710316.0
868,53677308.0
869,53757497.0
870,44807810.0
871,49880261.0
872,59702226.0
873,59154171.0
874,59046000.0
875,56262986.0
876,62179532.0
877,81043682.0
878,98833331.0
879,49723205.0
880,44288297.0
881,37238172.0
882,40705820.0
883,33010067.0
884,30272393.0
885,34483447.0
886,7238681.0
887,26337732.0
888,21599954.0
889,25200395.0
890,28735126.0
891,26816781.0
892,26728312.0
893,24864576.0
894,27662318.0
895,27518346.0
896,25213575.0
897,40089551.0
898,49336359.0
899,30260988.0
900,32817368.0
901,36928970.0
902,43188233.0
903,39208949.0
904,39673917.0
905,46858841.0
906,97000854.0
907,68712383.0
908,59947920.0
909,57609461.0
910,55380637.0
911,60774741.0
912,57222406.0
913,50878062.0
914,44643324.0
915,39711802.0
916,40669859.0
917,38504184.0
918,3890502.0
919,3941228.0
920,13643671.0
921,13884241.0
922,13427540.0
923,7415059.0
924,39266708.0
