osmid,risk_lvl
"[6209841888, 6209841894, 6209841889, 6209841893]",1
6209840880,1
277564539,0
6236413775,0
"[6209869436, 6209869438, 6209869439, 6209869440, 6209869437]",1
6236413772,1
644912850,1
207074088,0
"[6241818354, 6241818362, 1867786350, 6241818355]",0
273418783,0
"[6241818350, 6241818351]",0
207074089,1
2099602782,3
273418770,0
273420254,0
"[1867786315, 6241596989]",1
273420252,1
207074116,1
271846157,1
271846212,1
271846264,1
271846156,0
207074118,2
261614173,1
271354755,0
271846044,2
271846050,1
271846076,2
271846102,0
271846079,1
207078902,1
"[6236417288, 271355118]",1
"[273100048, 6236429055]",1
"[271355130, 271355129, 6236387718, 6236387725, 6236387727, 6236387714, 6236387724, 6236387721]",1
273419135,1
"[207091198, 598991996, 6209761786]",1
"[207093347, 207093346, 1897089211, 207093350, 207093351, 1897089231, 1897089215, 2100048590]",1
6209761795,1
598991991,1
2100048630,1
599021177,1
599020745,1
207093028,1
2099830161,0
"[6209841940, 5551067277, 6209841937, 6209841936, 6209841941]",0
"[277567361, 2099864270, 6209841945, 6209841946]",0
825360743,0
"[6209841923, 6209841924]",2
6209841943,1
"[598991851, 599021195, 599021183]",1
"[2101666884, 2100048497]",0
"[207093866, 207093873]",0
"[599020835, 599020818, 599020826]",1
"[207093867, 207093868]",1
599020961,2
"[599020810, 599020813, 599020838, 599020839]",0
"[207093869, 207093870]",0
207095071,0
"[207093871, 207093872]",0
"[1866199719, 1866199833, 1866199832, 1866199761]",0
6210230072,3
"[6228982622, 2869508102, 6228982623, 6228982625, 6228982624]",1
6228904125,0
598991888,3
6228982630,1
207094889,1
6200524579,1
6200524584,1
5548441822,1
1866204325,1
"[599020756, 599020887, 6210230069, 599020760, 599020885]",1
207095258,1
5491823069,1
"[6210230066, 6210230068, 6210230067]",1
207095428,1
5491823062,1
599021007,1
5491823068,1
5491823061,0
6209736367,1
"[207095632, 6241907814, 833654615, 6241907812, 6241907808, 6241907811]",0
"[833654630, 833654559, 10775693098, 833654621, 833654616, 10775693103, 10775693104, 833654624, 833654627, 10775693097, 10775786005]",2
9677605160,0
"[207096481, 207098249, 1866205293, 1866205259, 6207935500]",1
6229062193,1
6207935513,1
6200967858,0
"[628577867, 6229062210, 628577889, 6229062199, 6229062203, 6229062209, 6229062211]",0
"[207098240, 1866200811, 207098241]",0
"[6228904132, 6228904133, 1866200835, 1866200814, 1866200827, 6228904131, 6228904135, 6228904136, 6228904134]",0
